一场春梦|yī chǎng chūn mèng
一场欢喜忽悲辛|yī chǎng guān xǐ hū bēi xīn
一场空|yī chǎng kōng
一场误会|yī chǎng wù huì
一坐一起|yī zuò yī qǐ
一坐之间|yī zuò zhī jiān
一坐之顷|yī zuò zhī qīng
一坐尽倾|yī zuò jìn qīng
一坐尽惊|yī zuò jìn jīng
一坐皆惊|yī zuò jiē jīng
一块石头落了地|yī kuài shí tou luò le dì
一块石头落地|yī kuài shí tóu luò dì
一堂和气|yī táng hé qì
一塌刮子|yī tā guā zi
一塌括仔|yī tā kuò zǐ
一塌糊涂|yī tā hú tú
一塌胡涂|yī tā hú tú
一壑一丘|yī hè yī qiū
一士之智|yī shì zhī zhì
一声不吭|yī shēng bù kēng
一声不响|yī shēng bù xiǎng
一壶中流|yī hú zhōng liú
一壶千金|yī hú qiān jīn
一壸千金|yī kuì qiān jīn
一夔一契|yī kuí yī qì
一夔已足|yī kuí yǐ zú
一夔自足|yī kuí zì zú
一夕一朝|yī xī yī zhāo
一夕三叹|yī xī sān tàn
一夕三迁|yī xī sān qiān
一夕九升|yī xī jiǔ shēng
一夕九徙|yī xī jiǔ xǐ
一夕五制|yī xī wǔ zhì
一夕千念|yī xī qiān niàn
一夕白发|yī xī bái fà
一夜十起|yī yè shí qǐ
一夜夫妻百夜恩|yī yè fū qī bǎi yè ēn
一夜夫妻百日恩|yī yè fū qī bǎi rì ēn
一夜被蛇咬，十日怕麻绳|yī yè bèi shé yǎo，shí rì pà má shéng
一天一地|yī tiān yī dì
一天好事|yī tiān hǎo shì
一天星斗|yī tiān xīng dǒu
一夫之勇|yī fū zhī yǒng
一夫之用|yī fū zhī yòng
一夫可守|yī fū kě shǒu
一夫当关|yī fū dāng guān
一夫当关，万夫莫开|yī fū dāng guān，wàn fū mò kāi
一夫当关，万夫莫摧|yī fū dāng guān，wàn fū mò cuī
一夫当关，万夫莫敌|yī fū dāng guān，wàn fū mò dí
一夫得情，千室鸣弦|yī fū dé qíng，qiān shì míng xián
一夫得道，九族升天|yī fū dé dào，jiǔ zú shēng tiān
一夫舍死，万夫莫当|yī fū shě sǐ，wàn fū mò dāng
一夫荷戈，万夫莫前|yī fū hè gē，wàn fū mò qián
一夫荷戟，千人莫当|yī fū hè jǐ，qiān rén mò dāng
一夫荷戟，尤夫趦趄|yī fū hè jǐ，wàn fū zī jū
一失足成千古恨|yī shī zú chéng qiān gǔ hèn
一头雾水|yī tóu wù shuǐ
一如既往|yī rú jì wǎng
一如曩昔|yī rú nǎng xī
一子出家，七祖升天|yī zǐ chū jiā，qī zǔ shēng tiān
一子出家，七祖昇天|yī zǐ chū jiā，qī zǔ shēng tiān
一子出家，七祖昻天|yī zǐ chū jiā，qī zǔ shēng tiān
一子出家，九祖升天|yī zǐ chū jiā，jiǔ zǔ shēng tiān
一子失着，满盘皆输|yī zǐ shī zhāo，mǎn pán jiē shū
一子悟道，九族升天|yī zǐ wù dào，jiǔ zú shēng tiān
一子悟道，九族生天|yī zǐ wù dào，jiǔ zú shēng tiān
一孔不达|yī kǒng bù dá
一孔之见|yī kǒng zhī jiàn
一字一句|yī zì yī jù
一字一板|yī zì yī bǎn
一字一泪|yī zì yī lèi
一字一珠|yī zì yī zhū
一字不差|yī zì bù chā
一字不易|yī zì bù yì
一字不爽|yī zì bù shuǎng
一字不苟|yī zì bù gǒu
一字不落|yī zì bù là
一字不识|yī zì bù shí
一字之师|yī zì zhī shī
一字值千金|yī zì zhí qiān jīn
一字入公门|yī zì rù gōng mén
一字兼金|yī zì jiān jīn
一字千秋|yī zì qiān qiū
一字千金|yī zì qiān jīn
一字千钧|yī zì qiān jūn
一字师|yī zì shī
一字百炼|yī zì bǎi liàn
一字百金|yī zì bǎi jīn
一字褒贬|yī zì bāo biǎn
一字见心|yī zì jiàn xīn
一字连城|yī zì lián chéng
一字长城|yī zì cháng chéng
一字长蛇阵|yī zì cháng shé zhèn
一官半职|yī guān bàn zhí
一定不易|yī dìng bù yì
一定不移|yī dìng bù yí
一定之法|yī dìng zhī fǎ
一定之规|yī dìng zhī guī
一定之计|yī dìng zhī jì
一定之论|yī dìng zhī lùn
一客不烦两家|yī kè bù fán liǎng jiā
一客不烦二主|yī kè bù fán èr zhǔ
一客不犯二主|yī kè bù fàn èr zhǔ
一室生春|yī shì shēng chūn
一家一火|yī jiā yī huǒ
一家一计|yī jiā yī jì
一家之主|yī jiā zhī zhǔ
一家之作|yī jiā zhī zuò
一家之学|yī jiā zhī xué
一家之言|yī jiā zhī yán
一家之计|yī jiā zhī jì
一家之论|yī jiā zhī lùn
一家之说|yī jiā zhī shuō
一家之辞|yī jiā zhī cí
一家之长|yī jiā zhī zhǎng
一家无二|yī jiā wú èr
一家眷属|yī jiā juàn shǔ
一家老小|yī jiā lǎo xiǎo
一寒如此|yī hán rú cǐ
一寸丹心|yī cùn dān xīn
一寸光阴一寸金|yī cùn guāng yīn yī cùn jīn
一寸同心缕|yī cùn tóng xīn lǚ
一寸山河一寸金|yī cùn shān hé yī cùn jīn
一寸赤心|yī cùn chì xīn
一射之地|yī shè zhī dì
一将功成万骨枯|yī jiàng gōng chéng wàn gǔ kū
一将成功万骨枯|yī jiàng chéng gōng wàn gǔ kū
一小撮|yī xiǎo cuō
一尘不倒|yī chén bù dǎo
一尘不到|yī chén bù dào
一尘不受|yī chén bù shòu
一尘不染|yī chén bù rǎn
一尘不涉|yī chén bù shè
一尘不缁|yī chén bù zī
一就手儿|yī jiù shǒu er
